时间戳,目标档位,当前速度(m/s),转向角(°),运行模式,心跳计数
2025-10-13 14:18:14,D档,3390,31664,auto,6
2025-10-13 14:18:14,D档,3390,31664,auto,7
2025-10-13 14:18:14,D档,2878,31664,auto,2
2025-10-13 14:18:14,D档,1086,31664,auto,12
2025-10-13 14:18:14,D档,1597,31664,auto,1
2025-10-13 14:18:14,D档,3390,31664,auto,11
2025-10-13 14:18:14,D档,1855,31664,auto,2
2025-10-13 14:18:14,D档,2879,31664,auto,15
2025-10-13 14:18:14,D档,2622,31664,auto,9
2025-10-13 14:18:14,D档,2110,31664,auto,10
2025-10-13 14:18:14,D档,1853,31664,auto,6
2025-10-13 14:18:14,D档,1085,31664,auto,4
2025-10-13 14:18:14,D档,2621,31664,auto,5
2025-10-13 14:18:14,D档,1853,31664,auto,9
2025-10-13 14:18:14,D档,3390,31664,auto,0
2025-10-13 14:18:14,D档,64,31664,auto,11
2025-10-13 14:18:14,D档,3902,31664,auto,4
2025-10-13 14:18:14,D档,319,31664,auto,11
2025-10-13 14:18:14,D档,1087,31664,auto,13
2025-10-13 14:18:14,D档,3133,31664,auto,4
2025-10-13 14:18:14,D档,3133,31664,auto,11
2025-10-13 14:18:14,D档,2365,31664,auto,15
2025-10-13 14:18:14,D档,2109,31664,auto,13
2025-10-13 14:18:14,D档,2879,31664,auto,15
2025-10-13 14:18:14,D档,3390,31664,auto,14
2025-10-13 14:18:14,D档,1854,31664,auto,5
2025-10-13 14:18:14,D档,63,31664,auto,1
2025-10-13 14:18:14,D档,2109,31664,auto,8
2025-10-13 14:18:14,D档,319,31664,auto,14
2025-10-13 14:18:14,D档,3645,31664,auto,0
2025-10-13 14:18:14,D档,1598,31664,auto,11
2025-10-13 14:18:14,D档,2367,31664,auto,5
2025-10-13 14:18:14,D档,62,31664,auto,11
2025-10-13 14:18:14,D档,318,31664,auto,11
2025-10-13 14:18:14,D档,2365,31664,auto,0
2025-10-13 14:18:14,D档,318,31664,auto,9
2025-10-13 14:18:14,D档,1341,31664,auto,2
2025-10-13 14:18:15,D档,2110,31664,auto,14
2025-10-13 14:18:15,D档,3390,31664,auto,8
2025-10-13 14:18:15,D档,3135,31664,auto,8
2025-10-13 14:18:15,D档,63,31664,auto,3
2025-10-13 14:18:15,D档,3134,31664,auto,14
2025-10-13 14:18:15,D档,1086,31664,auto,5
2025-10-13 14:18:15,D档,62,31664,auto,0
2025-10-13 14:18:15,D档,573,31664,auto,13
2025-10-13 14:18:15,D档,318,31664,auto,15
2025-10-13 14:18:15,D档,3134,31664,auto,1
2025-10-13 14:18:15,D档,3390,31664,auto,1
2025-10-13 14:18:15,D档,63,31664,auto,11
2025-10-13 14:18:15,D档,3390,31664,auto,7
2025-10-13 14:18:15,D档,3390,31664,auto,4
2025-10-13 14:18:15,D档,2109,31664,auto,0
2025-10-13 14:18:15,D档,3389,31664,auto,10
2025-10-13 14:18:15,D档,3389,31664,auto,11
2025-10-13 14:18:15,D档,3645,31664,auto,11
2025-10-13 14:18:15,D档,3390,31664,auto,9
2025-10-13 14:18:15,D档,1087,31664,auto,7
2025-10-13 14:18:15,D档,3646,31664,auto,12
2025-10-13 14:18:15,D档,830,31664,auto,2
2025-10-13 14:18:15,D档,62,31664,auto,0
2025-10-13 14:18:15,D档,2365,31664,auto,6
2025-10-13 14:18:15,D档,62,31664,auto,14
2025-10-13 14:18:15,D档,1854,31664,auto,10
2025-10-13 14:18:15,D档,318,31664,auto,13
2025-10-13 14:18:15,D档,575,31664,auto,9
2025-10-13 14:18:15,D档,1854,31664,auto,13
2025-10-13 14:18:15,D档,3389,31664,auto,4
2025-10-13 14:18:15,D档,318,31664,auto,9
2025-10-13 14:18:15,D档,317,31664,auto,6
2025-10-13 14:18:15,D档,2109,31664,auto,14
2025-10-13 14:18:15,D档,2622,31664,auto,15
2025-10-13 14:18:15,D档,1087,31664,auto,0
2025-10-13 14:18:15,D档,3391,31664,auto,14
2025-10-13 14:18:15,D档,3134,31664,auto,14
2025-10-13 14:18:15,D档,1342,31664,auto,4
2025-10-13 14:18:15,D档,1853,31664,auto,7
2025-10-13 14:18:15,D档,829,31664,auto,12
2025-10-13 14:18:15,D档,3901,31664,auto,1
2025-10-13 14:18:15,D档,2110,31664,auto,5
2025-10-13 14:18:15,D档,1087,31664,auto,8
2025-10-13 14:18:15,D档,1599,31664,auto,13
2025-10-13 14:18:15,D档,2111,31664,auto,2
2025-10-13 14:18:15,D档,3390,31664,auto,4
2025-10-13 14:18:15,D档,1853,31664,auto,15
2025-10-13 14:18:15,D档,1597,31664,auto,1
2025-10-13 14:18:15,D档,317,31664,auto,7
2025-10-13 14:18:15,D档,2877,31664,auto,14
2025-10-13 14:18:15,D档,2110,31664,auto,12
2025-10-13 14:18:15,D档,3902,31664,auto,12
2025-10-13 14:18:15,D档,2367,31664,auto,11
2025-10-13 14:18:15,D档,574,31664,auto,3
2025-10-13 14:18:15,D档,2110,31664,auto,8
2025-10-13 14:18:15,D档,3390,31664,auto,2
2025-10-13 14:18:15,D档,318,31664,auto,15
2025-10-13 14:18:15,D档,1086,31664,auto,9
2025-10-13 14:18:15,D档,318,31664,auto,13
2025-10-13 14:18:15,D档,3390,31664,auto,6
2025-10-13 14:18:15,D档,3134,31664,auto,6
2025-10-13 14:18:15,D档,3390,31664,auto,4
2025-10-13 14:18:15,D档,2878,31664,auto,3
2025-10-13 14:18:15,D档,62,31664,auto,7
2025-10-13 14:18:15,D档,1086,31664,auto,2
2025-10-13 14:18:15,D档,3901,31664,auto,10
2025-10-13 14:18:15,D档,1854,31664,auto,3
2025-10-13 14:18:15,D档,3390,31664,auto,14
2025-10-13 14:18:15,D档,3390,31664,auto,15
2025-10-13 14:18:15,D档,1854,31664,auto,6
2025-10-13 14:18:15,D档,2365,31664,auto,9
2025-10-13 14:18:15,D档,2109,31664,auto,7
2025-10-13 14:18:15,D档,317,31664,auto,15
2025-10-13 14:18:15,D档,62,31664,auto,13
2025-10-13 14:18:15,D档,2110,31664,auto,4
2025-10-13 14:18:15,D档,2367,31664,auto,2
2025-10-13 14:18:15,D档,1599,31664,auto,12
2025-10-13 14:18:15,D档,3390,31664,auto,4
2025-10-13 14:18:15,D档,1086,31664,auto,12
2025-10-13 14:18:15,D档,3901,31664,auto,8
2025-10-13 14:18:15,D档,573,31664,auto,4
2025-10-13 14:18:15,D档,62,31664,auto,5
2025-10-13 14:18:15,D档,318,31664,auto,5
2025-10-13 14:18:15,D档,1599,31664,auto,5
2025-10-13 14:18:15,D档,64,31664,auto,5
2025-10-13 14:18:15,D档,3390,31664,auto,12
2025-10-13 14:18:15,D档,575,31664,auto,2
2025-10-13 14:18:15,D档,2621,31664,auto,5
2025-10-13 14:18:15,D档,830,31664,auto,13
2025-10-13 14:18:15,D档,575,31664,auto,15
2025-10-13 14:18:15,D档,3390,31664,auto,1
2025-10-13 14:18:15,D档,3134,31664,auto,7
2025-10-13 14:18:15,D档,3902,31664,auto,5
2025-10-13 14:18:15,D档,2622,31664,auto,3
2025-10-13 14:18:15,D档,1342,31664,auto,13
2025-10-13 14:18:15,D档,3389,31664,auto,10
2025-10-13 14:18:15,D档,2877,31664,auto,13
2025-10-13 14:18:16,D档,1342,31664,auto,0
2025-10-13 14:18:16,D档,3901,31664,auto,11
2025-10-13 14:18:16,D档,3390,31664,auto,14
2025-10-13 14:18:16,D档,1599,31664,auto,4
2025-10-13 14:18:16,D档,830,31664,auto,2
2025-10-13 14:18:16,D档,2878,31664,auto,11
2025-10-13 14:18:16,D档,2877,31664,auto,4
2025-10-13 14:18:16,D档,573,31664,auto,12
2025-10-13 14:18:16,D档,3646,31664,auto,3
2025-10-13 14:18:16,D档,2621,31664,auto,6
2025-10-13 14:18:16,D档,63,31664,auto,11
2025-10-13 14:18:16,D档,575,31664,auto,8
2025-10-13 14:18:16,D档,3390,31664,auto,4
2025-10-13 14:18:16,D档,3646,31664,auto,6
2025-10-13 14:18:16,D档,318,31664,auto,6
2025-10-13 14:18:16,D档,3388,31664,auto,11
2025-10-13 14:18:16,D档,1086,31664,auto,1
2025-10-13 14:18:16,D档,1342,31664,auto,1
2025-10-13 14:18:16,D档,2880,31664,auto,15
2025-10-13 14:18:16,D档,3902,31664,auto,13
2025-10-13 14:18:16,D档,1855,31664,auto,6
2025-10-13 14:18:16,D档,319,31664,auto,1
2025-10-13 14:18:16,D档,3389,31664,auto,2
2025-10-13 14:18:16,D档,3132,31664,auto,2
2025-10-13 14:18:16,D档,1854,31664,auto,10
2025-10-13 14:18:16,D档,1342,31664,auto,9
2025-10-13 14:18:16,D档,3390,31664,auto,6
2025-10-13 14:18:16,D档,1086,31664,auto,14
2025-10-13 14:18:16,D档,3390,31664,auto,4
2025-10-13 14:18:16,D档,3901,31664,auto,7
2025-10-13 14:18:16,D档,1342,31664,auto,2
2025-10-13 14:18:16,D档,3133,31664,auto,10
2025-10-13 14:18:16,D档,62,31664,auto,5
2025-10-13 14:18:16,D档,3133,31664,auto,8
2025-10-13 14:18:16,D档,3390,31664,auto,14
2025-10-13 14:18:16,D档,575,31664,auto,0
2025-10-13 14:18:16,D档,63,31664,auto,1
2025-10-13 14:18:16,D档,1342,31664,auto,5
2025-10-13 14:18:16,D档,1854,31664,auto,8
2025-10-13 14:18:16,D档,3134,31664,auto,2
2025-10-13 14:18:16,D档,1085,31664,auto,9
2025-10-13 14:18:16,D档,2366,31664,auto,5
2025-10-13 14:18:16,D档,1087,31664,auto,15
2025-10-13 14:18:16,D档,3647,31664,auto,4
2025-10-13 14:18:16,D档,1599,31664,auto,15
2025-10-13 14:18:16,D档,1598,31664,auto,14
2025-10-13 14:18:16,D档,830,31664,auto,4
2025-10-13 14:18:16,D档,3388,31664,auto,11
2025-10-13 14:18:16,D档,829,31664,auto,6
2025-10-13 14:18:16,D档,318,31664,auto,5
2025-10-13 14:18:16,D档,3390,31664,auto,14
2025-10-13 14:18:16,D档,832,31664,auto,6
2025-10-13 14:18:16,D档,3390,31664,auto,12
2025-10-13 14:18:16,D档,2879,31664,auto,11
2025-10-13 14:18:16,D档,830,31664,auto,12
2025-10-13 14:18:16,D档,829,31664,auto,13
2025-10-13 14:18:16,D档,62,31664,auto,13
2025-10-13 14:18:16,D档,2877,31664,auto,7
2025-10-13 14:18:16,D档,2110,31664,auto,3
2025-10-13 14:18:16,D档,63,31664,auto,10
2025-10-13 14:18:16,D档,575,31664,auto,11
2025-10-13 14:18:16,D档,2878,31664,auto,3
2025-10-13 14:18:16,D档,3901,31664,auto,8
2025-10-13 14:18:16,D档,2621,31664,auto,12
2025-10-13 14:18:16,D档,3389,31664,auto,8
2025-10-13 14:18:16,D档,1853,31664,auto,3
2025-10-13 14:18:16,D档,318,31664,auto,2
2025-10-13 14:18:16,D档,1086,31664,auto,6
2025-10-13 14:18:16,D档,1854,31664,auto,6
2025-10-13 14:18:16,D档,3390,31664,auto,13
2025-10-13 14:18:16,D档,1086,31664,auto,11
2025-10-13 14:18:16,D档,573,31664,auto,12
2025-10-13 14:18:16,D档,3134,31664,auto,1
2025-10-13 14:18:16,D档,1342,31664,auto,9
2025-10-13 14:18:16,D档,2110,31664,auto,3
2025-10-13 14:18:16,D档,3902,31664,auto,5
2025-10-13 14:18:16,D档,3390,31664,auto,4
2025-10-13 14:18:16,D档,3390,31664,auto,5
2025-10-13 14:18:16,D档,3133,31664,auto,11
2025-10-13 14:18:16,D档,1853,31664,auto,1
2025-10-13 14:18:16,D档,62,31664,auto,5
2025-10-13 14:18:16,D档,62,31664,auto,4
2025-10-13 14:18:16,D档,575,31664,auto,1
2025-10-13 14:18:16,D档,2879,31664,auto,9
2025-10-13 14:18:16,D档,575,31664,auto,3
2025-10-13 14:18:16,D档,3391,31664,auto,13
2025-10-13 14:18:16,D档,1342,31664,auto,10
2025-10-13 14:18:16,D档,62,31664,auto,14
2025-10-13 14:18:16,D档,317,31664,auto,12
2025-10-13 14:18:16,D档,1854,31664,auto,11
2025-10-13 14:18:16,D档,3645,31664,auto,5
2025-10-13 14:18:16,D档,3134,31664,auto,6
2025-10-13 14:18:16,D档,3646,31664,auto,7
2025-10-13 14:18:16,D档,1087,31664,auto,12
2025-10-13 14:18:16,D档,1342,31664,auto,2
2025-10-13 14:18:16,D档,2621,31664,auto,12
2025-10-13 14:18:16,D档,318,31664,auto,4
2025-10-13 14:18:16,D档,2110,31664,auto,12
2025-10-13 14:18:17,D档,2366,31664,auto,10
2025-10-13 14:18:17,D档,830,31664,auto,1
2025-10-13 14:18:17,D档,1342,31664,auto,4
2025-10-13 14:18:17,D档,3134,31664,auto,12
2025-10-13 14:18:17,D档,3390,31664,auto,2
2025-10-13 14:18:17,D档,3133,31664,auto,2
2025-10-13 14:18:17,D档,830,31664,auto,14
2025-10-13 14:18:17,D档,3901,31664,auto,3
2025-10-13 14:18:17,D档,3902,31664,auto,4
2025-10-13 14:18:17,D档,3134,31664,auto,6
2025-10-13 14:18:17,D档,63,31664,auto,9
2025-10-13 14:18:17,D档,2366,31664,auto,1
2025-10-13 14:18:17,D档,3645,31664,auto,9
2025-10-13 14:18:17,D档,1085,31664,auto,2
2025-10-13 14:18:17,D档,62,31664,auto,5
2025-10-13 14:18:17,D档,318,31664,auto,5
2025-10-13 14:18:17,D档,1854,31664,auto,4
2025-10-13 14:18:17,D档,3390,31664,auto,15
2025-10-13 14:18:17,D档,1343,31664,auto,4
2025-10-13 14:18:17,D档,830,31664,auto,3
2025-10-13 14:18:17,D档,3645,31664,auto,1
2025-10-13 14:18:17,D档,1085,31664,auto,10
2025-10-13 14:18:17,D档,62,31664,auto,13
2025-10-13 14:18:17,D档,1085,31664,auto,8
2025-10-13 14:18:17,D档,3645,31664,auto,5
2025-10-13 14:18:17,D档,3390,31664,auto,7
2025-10-13 14:18:17,D档,831,31664,auto,10
2025-10-13 14:18:17,D档,3646,31664,auto,6
2025-10-13 14:18:17,D档,1598,31664,auto,1
2025-10-13 14:18:17,D档,1342,31664,auto,3
2025-10-13 14:18:17,D档,61,31664,auto,5
2025-10-13 14:18:17,N档,573,31664,auto,4
2025-10-13 14:18:17,N档,3645,31664,auto,15
2025-10-13 14:18:17,N档,575,31664,auto,2
2025-10-13 14:18:17,N档,575,31664,auto,1
2025-10-13 14:18:17,N档,574,31664,auto,0
2025-10-13 14:18:17,N档,1597,31664,auto,11
2025-10-13 14:18:17,N档,3387,31664,auto,1
2025-10-13 14:18:17,N档,1847,31296,auto,7
2025-10-13 14:18:17,N档,1076,31296,auto,5
2025-10-13 14:18:17,N档,49,30208,auto,2
2025-10-13 14:18:17,N档,3119,30208,auto,14
2025-10-13 14:18:17,N档,302,28784,auto,7
2025-10-13 14:18:17,N档,1327,27392,auto,4
2025-10-13 14:18:17,N档,2350,27392,auto,7
2025-10-13 14:18:17,N档,815,25376,auto,14
2025-10-13 14:18:17,N档,2351,25376,auto,7
2025-10-13 14:18:17,N档,1581,23760,auto,5
2025-10-13 14:18:17,N档,296,23760,auto,5
2025-10-13 14:18:17,N档,38,22176,auto,2
2025-10-13 14:18:17,N档,1826,22176,auto,6
2025-10-13 14:18:17,N档,1311,20320,auto,11
2025-10-13 14:18:17,N档,3358,20320,auto,12
2025-10-13 14:18:17,N档,1312,18800,auto,7
2025-10-13 14:18:17,N档,2079,18800,auto,10
2025-10-13 14:18:17,N档,1823,17328,auto,8
2025-10-13 14:18:17,N档,798,17328,auto,11
2025-10-13 14:18:17,N档,2586,15872,auto,15
2025-10-13 14:18:17,N档,1048,15872,auto,2
2025-10-13 14:18:17,N档,22,14448,auto,0
2025-10-13 14:18:17,N档,2834,14448,auto,4
2025-10-13 14:18:17,N档,2064,13040,auto,14
2025-10-13 14:18:17,N档,3344,13040,auto,8
2025-10-13 14:18:17,N档,1040,11936,auto,4
2025-10-13 14:18:17,N档,1040,11936,auto,3
2025-10-13 14:18:17,N档,3344,10832,auto,4
2025-10-13 14:18:17,N档,1038,10832,auto,15
2025-10-13 14:18:17,N档,1801,9488,auto,9
2025-10-13 14:18:17,N档,2055,9488,auto,9
2025-10-13 14:18:17,N档,3589,8416,auto,1
2025-10-13 14:18:17,N档,2051,8416,auto,4
2025-10-13 14:18:17,P档,3073,7360,auto,0
2025-10-13 14:18:17,P档,513,7360,auto,9
2025-10-13 14:18:17,P档,2,6576,auto,13
2025-10-13 14:18:17,P档,3073,6576,auto,2
2025-10-13 14:18:17,P档,2817,5808,auto,4
2025-10-13 14:18:17,P档,3073,5808,auto,12
2025-10-13 14:18:17,P档,0,4768,auto,0
2025-10-13 14:18:17,P档,256,4768,auto,2
2025-10-13 14:18:17,P档,3073,4000,auto,15
2025-10-13 14:18:17,P档,0,4000,auto,4
2025-10-13 14:18:17,P档,2817,3248,auto,15
2025-10-13 14:18:17,P档,3073,2480,auto,11
2025-10-13 14:18:17,P档,3073,2480,auto,10
2025-10-13 14:18:17,P档,3073,1728,auto,2
2025-10-13 14:18:17,P档,0,1728,auto,15
2025-10-13 14:18:17,P档,1281,1232,auto,8
2025-10-13 14:18:17,P档,3073,1232,auto,0
2025-10-13 14:18:17,P档,0,976,auto,11
2025-10-13 14:18:17,P档,0,976,auto,10
2025-10-13 14:18:17,P档,0,976,auto,9
2025-10-13 14:18:17,P档,3073,976,auto,4
2025-10-13 14:18:17,P档,0,976,auto,7
2025-10-13 14:18:17,P档,0,976,auto,6
2025-10-13 14:18:17,P档,0,976,auto,5
2025-10-13 14:18:17,P档,0,976,auto,4
2025-10-13 14:18:17,P档,0,976,auto,3
2025-10-13 14:18:18,P档,0,976,auto,2
2025-10-13 14:18:18,P档,3073,976,auto,13
2025-10-13 14:18:18,P档,3073,976,auto,12
2025-10-13 14:18:18,P档,0,736,auto,12
2025-10-13 14:18:18,P档,0,736,auto,13
2025-10-13 14:18:18,P档,0,240,auto,15
2025-10-13 14:18:18,P档,0,240,auto,14
2025-10-13 14:18:18,P档,0,0,auto,6
2025-10-13 14:18:18,P档,0,0,auto,7
2025-10-13 14:18:18,P档,0,-240,auto,10
2025-10-13 14:18:18,P档,0,-240,auto,11
2025-10-13 14:18:18,P档,0,-240,auto,4
2025-10-13 14:18:18,P档,0,-240,auto,5
2025-10-13 14:18:18,P档,0,-240,auto,6
2025-10-13 14:18:18,P档,0,-240,auto,7
2025-10-13 14:18:18,P档,0,-240,auto,0
2025-10-13 14:18:18,P档,0,-240,auto,1
2025-10-13 14:18:18,P档,0,-240,auto,2
2025-10-13 14:18:18,P档,0,-240,auto,3
2025-10-13 14:18:18,P档,0,-240,auto,12
2025-10-13 14:18:18,P档,0,-240,auto,13
2025-10-13 14:18:18,P档,0,-240,auto,14
2025-10-13 14:18:18,P档,0,-240,auto,15
2025-10-13 14:18:18,P档,0,-240,auto,8
2025-10-13 14:18:18,P档,0,-240,auto,9
2025-10-13 14:18:18,P档,0,-240,auto,10
2025-10-13 14:18:18,P档,0,-240,auto,11
2025-10-13 14:18:18,P档,0,-240,auto,4
2025-10-13 14:18:18,P档,0,-240,auto,5
2025-10-13 14:18:18,P档,0,-240,auto,6
2025-10-13 14:18:18,P档,0,-240,auto,7
2025-10-13 14:18:18,P档,0,-240,auto,0
2025-10-13 14:18:18,P档,0,-240,auto,1
2025-10-13 14:18:18,P档,0,-240,auto,2
2025-10-13 14:18:18,P档,0,-240,auto,3
2025-10-13 14:18:18,P档,0,-240,auto,12
2025-10-13 14:18:18,P档,0,-240,auto,13
2025-10-13 14:18:18,P档,0,-240,auto,14
2025-10-13 14:18:18,P档,0,-240,auto,15
2025-10-13 14:18:18,P档,0,-240,auto,8
2025-10-13 14:18:18,P档,0,-240,auto,9
2025-10-13 14:18:18,P档,0,-240,auto,10
2025-10-13 14:18:18,P档,0,-240,auto,11
2025-10-13 14:18:18,P档,0,-240,auto,4
2025-10-13 14:18:18,P档,0,-240,auto,5
2025-10-13 14:18:18,P档,0,-240,auto,6
2025-10-13 14:18:18,P档,0,-240,auto,7
2025-10-13 14:18:18,P档,0,-240,auto,0
2025-10-13 14:18:18,P档,0,-240,auto,1
2025-10-13 14:18:18,P档,0,-240,auto,2
2025-10-13 14:18:18,P档,0,-240,auto,3
2025-10-13 14:18:18,P档,0,-240,auto,12
2025-10-13 14:18:18,P档,0,-240,auto,13
2025-10-13 14:18:18,P档,0,-240,auto,14
2025-10-13 14:18:18,P档,0,-240,auto,15
2025-10-13 14:18:18,P档,0,-240,auto,8
2025-10-13 14:18:18,P档,0,-240,auto,9
2025-10-13 14:18:18,P档,0,-240,auto,10
2025-10-13 14:18:18,P档,0,0,auto,5
2025-10-13 14:18:18,P档,0,0,auto,10
2025-10-13 14:18:18,P档,0,0,auto,11
2025-10-13 14:18:18,P档,0,0,auto,8
2025-10-13 14:18:18,P档,0,0,auto,9
2025-10-13 14:18:18,P档,0,0,auto,14
2025-10-13 14:18:18,P档,0,0,auto,15
2025-10-13 14:18:18,P档,0,0,auto,12
2025-10-13 14:18:18,P档,0,0,auto,13
2025-10-13 14:18:18,P档,0,0,auto,2
2025-10-13 14:18:18,P档,0,0,auto,3
2025-10-13 14:18:18,P档,0,0,auto,0
2025-10-13 14:18:18,P档,0,0,auto,1
2025-10-13 14:18:18,P档,0,0,auto,6
2025-10-13 14:18:18,P档,0,0,auto,7
2025-10-13 14:18:18,P档,0,0,auto,4
2025-10-13 14:18:18,P档,0,0,auto,5
2025-10-13 14:18:18,P档,0,0,auto,10
2025-10-13 14:18:18,P档,0,0,auto,11
2025-10-13 14:18:18,P档,0,-240,auto,6
2025-10-13 14:18:18,P档,0,-240,auto,7
2025-10-13 14:18:18,P档,0,-240,auto,0
2025-10-13 14:18:18,P档,0,-240,auto,1
2025-10-13 14:18:18,P档,0,-240,auto,2
2025-10-13 14:18:18,P档,0,-240,auto,3
2025-10-13 14:18:18,P档,0,-240,auto,12
2025-10-13 14:18:18,P档,0,-240,auto,13
2025-10-13 14:18:18,P档,0,-240,auto,14
2025-10-13 14:18:18,P档,0,-240,auto,15
2025-10-13 14:18:18,P档,0,-240,auto,8
2025-10-13 14:18:18,P档,0,-240,auto,9
2025-10-13 14:18:18,P档,0,-240,auto,10
2025-10-13 14:18:18,P档,0,-240,auto,11
2025-10-13 14:18:18,P档,0,-240,auto,4
2025-10-13 14:18:18,P档,0,-240,auto,5
2025-10-13 14:18:18,P档,0,-240,auto,6
2025-10-13 14:18:18,P档,0,-240,auto,7
2025-10-13 14:18:18,P档,0,-240,auto,0
2025-10-13 14:18:18,P档,0,-240,auto,1
2025-10-13 14:18:18,P档,0,-240,auto,2
2025-10-13 14:18:19,P档,0,-240,auto,3
2025-10-13 14:18:19,P档,0,0,auto,2
2025-10-13 14:18:19,P档,0,0,auto,3
2025-10-13 14:18:19,P档,0,0,auto,0
2025-10-13 14:18:19,P档,0,0,auto,1
2025-10-13 14:18:19,P档,0,0,auto,6
2025-10-13 14:18:19,P档,0,0,auto,7
2025-10-13 14:18:19,P档,0,0,auto,4
2025-10-13 14:18:19,P档,0,0,auto,5
2025-10-13 14:18:19,P档,0,0,auto,10
2025-10-13 14:18:19,P档,0,0,auto,11
2025-10-13 14:18:19,P档,0,0,auto,8
2025-10-13 14:18:19,P档,0,0,auto,9
2025-10-13 14:18:19,P档,0,0,auto,14
2025-10-13 14:18:19,P档,0,0,auto,15
2025-10-13 14:18:19,P档,0,0,auto,12
2025-10-13 14:18:19,P档,0,0,auto,13
2025-10-13 14:18:19,P档,0,0,auto,2
2025-10-13 14:18:19,P档,0,0,auto,3
2025-10-13 14:18:19,P档,0,0,auto,0
2025-10-13 14:18:19,P档,0,0,auto,1
2025-10-13 14:18:19,P档,0,0,auto,6
2025-10-13 14:18:19,P档,0,0,auto,7
2025-10-13 14:18:19,P档,0,0,auto,4
2025-10-13 14:18:19,P档,0,0,auto,5
2025-10-13 14:18:19,P档,0,0,auto,10
2025-10-13 14:18:19,P档,0,0,auto,11
2025-10-13 14:18:19,P档,0,0,auto,8
2025-10-13 14:18:19,P档,0,0,auto,9
2025-10-13 14:18:19,P档,0,0,auto,14
2025-10-13 14:18:19,P档,0,0,auto,15
2025-10-13 14:18:19,P档,0,0,auto,12
2025-10-13 14:18:19,P档,0,0,auto,13
2025-10-13 14:18:19,P档,0,0,auto,2
2025-10-13 14:18:19,P档,0,0,auto,3
2025-10-13 14:18:19,P档,0,0,auto,0
2025-10-13 14:18:19,P档,0,0,auto,1
2025-10-13 14:18:19,P档,0,0,auto,6
2025-10-13 14:18:19,P档,0,0,auto,7
2025-10-13 14:18:19,P档,0,0,auto,4
2025-10-13 14:18:19,P档,0,0,auto,5
2025-10-13 14:18:19,P档,0,0,auto,10
2025-10-13 14:18:19,P档,0,0,auto,11
2025-10-13 14:18:19,P档,0,0,auto,8
2025-10-13 14:18:19,P档,0,0,auto,9
2025-10-13 14:18:19,P档,0,0,auto,14
2025-10-13 14:18:19,P档,0,0,auto,15
2025-10-13 14:18:19,P档,0,-240,auto,2
2025-10-13 14:18:19,P档,0,-240,auto,3
2025-10-13 14:18:19,P档,0,-240,auto,12
2025-10-13 14:18:19,P档,0,-240,auto,13
2025-10-13 14:18:19,P档,0,-240,auto,14
2025-10-13 14:18:19,P档,0,-240,auto,15
2025-10-13 14:18:19,P档,0,-240,auto,8
2025-10-13 14:18:19,P档,0,-240,auto,9
2025-10-13 14:18:19,P档,0,-240,auto,10
2025-10-13 14:18:19,P档,0,-240,auto,11
2025-10-13 14:18:19,P档,0,-240,auto,4
2025-10-13 14:18:19,P档,0,-240,auto,5
2025-10-13 14:18:19,P档,0,0,auto,8
2025-10-13 14:18:19,P档,0,0,auto,9
2025-10-13 14:18:19,P档,0,0,auto,14
2025-10-13 14:18:19,P档,0,0,auto,15
2025-10-13 14:18:19,P档,0,0,auto,12
2025-10-13 14:18:19,P档,0,0,auto,13
2025-10-13 14:18:19,P档,0,0,auto,2
2025-10-13 14:18:19,P档,0,0,auto,3
2025-10-13 14:18:19,P档,0,0,auto,0
2025-10-13 14:18:19,P档,0,0,auto,1
2025-10-13 14:18:19,P档,0,0,auto,6
2025-10-13 14:18:19,P档,0,0,auto,7
2025-10-13 14:18:19,P档,0,0,auto,4
2025-10-13 14:18:19,P档,0,0,auto,5
2025-10-13 14:18:19,P档,0,0,auto,10
