时间戳,目标档位,当前速度(m/s),转向角(°),运行模式,心跳计数
2025-10-13 14:18:10,D档,2366,32416,auto,14
2025-10-13 14:18:10,D档,62,32416,auto,4
2025-10-13 14:18:10,D档,1597,32416,auto,3
2025-10-13 14:18:10,D档,3389,32416,auto,15
2025-10-13 14:18:10,D档,2110,32416,auto,11
2025-10-13 14:18:10,D档,3390,32416,auto,13
2025-10-13 14:18:10,D档,2622,32416,auto,11
2025-10-13 14:18:10,D档,2622,32032,auto,12
2025-10-13 14:18:10,D档,1854,32032,auto,0
2025-10-13 14:18:10,D档,318,32032,auto,5
2025-10-13 14:18:10,D档,1597,32032,auto,3
2025-10-13 14:18:10,D档,317,32032,auto,3
2025-10-13 14:18:10,D档,1854,32032,auto,4
2025-10-13 14:18:10,D档,575,32032,auto,2
2025-10-13 14:18:10,D档,1344,32032,auto,3
2025-10-13 14:18:10,D档,2367,32032,auto,7
2025-10-13 14:18:10,D档,3390,32032,auto,2
2025-10-13 14:18:10,D档,1598,32032,auto,10
2025-10-13 14:18:10,D档,3388,32032,auto,0
2025-10-13 14:18:10,D档,574,32032,auto,8
2025-10-13 14:18:10,D档,2365,32032,auto,2
2025-10-13 14:18:10,D档,3390,32032,auto,5
2025-10-13 14:18:10,D档,3390,32032,auto,4
2025-10-13 14:18:10,D档,3646,32032,auto,8
2025-10-13 14:18:10,D档,3646,32032,auto,9
2025-10-13 14:18:10,D档,574,32032,auto,6
2025-10-13 14:18:10,D档,3133,32032,auto,9
2025-10-13 14:18:10,D档,574,32032,auto,0
2025-10-13 14:18:10,D档,2877,31664,auto,1
2025-10-13 14:18:10,D档,830,31664,auto,10
2025-10-13 14:18:10,D档,3902,31664,auto,7
2025-10-13 14:18:10,D档,575,31664,auto,5
2025-10-13 14:18:10,D档,3390,31664,auto,11
2025-10-13 14:18:10,D档,574,31664,auto,7
2025-10-13 14:18:10,D档,2365,31664,auto,13
2025-10-13 14:18:10,D档,830,31664,auto,0
2025-10-13 14:18:10,D档,830,31664,auto,1
2025-10-13 14:18:10,D档,3646,31664,auto,15
2025-10-13 14:18:10,D档,3902,31664,auto,15
2025-10-13 14:18:10,D档,1343,31664,auto,10
2025-10-13 14:18:10,D档,3390,31664,auto,3
2025-10-13 14:18:10,D档,574,31664,auto,15
2025-10-13 14:18:10,D档,574,31664,auto,14
2025-10-13 14:18:10,D档,3133,31664,auto,7
